"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-211935","Fatty acids","7/789","13/9605",0.538461538461538,6.55503558545384,5.99560099522962,2.71510182846619e-05,0.0200278234466518,0.0198342792699051,"CYP4B1/CYP4F8/CYP2B6/CYP4F22/CYP4F12/CYP4F11/CYP2A7",7
"R-HSA-9927418","Developmental Lineage of Mammary Gland Luminal Epithelial Cells","9/789","22/9605",0.409090909090909,4.98012443829934,5.59095547105962,3.03912343651772e-05,0.0200278234466518,0.0198342792699051,"PGR/ESR1/ANKRD30A/KRT18/ERBB2/AREG/MUC1/KRT19/KRT8",9
"R-HSA-9924644","Developmental Lineages of the Mammary Gland","11/789","35/9605",0.314285714285714,3.82600036212204,5.0104767703932,7.12308299098596e-05,0.0246099006236358,0.0243720763304116,"PGR/ESR1/ANKRD30A/KRT18/GATA3/ERBB2/AREG/MUC1/FGF10/KRT19/KRT8",11
"R-HSA-9927426","Developmental Lineage of Mammary Gland Alveolar Cells","7/789","15/9605",0.466666666666667,5.68103084072666,5.42758476750081,8.79194887138375e-05,0.0246099006236358,0.0243720763304116,"PGR/ESR1/ANKRD30A/KRT18/MUC1/KRT19/KRT8",7
"R-HSA-8963691","Phenylalanine and tyrosine metabolism","6/789","11/9605",0.545454545454545,6.64016591773246,5.5990861777474,9.71891251186428e-05,0.0246099006236358,0.0243720763304116,"HGD/HPD/FAH/PAH/GSTZ1/QDPR",6
"R-HSA-9018519","Estrogen-dependent gene expression","23/789","121/9605",0.190082644628099,2.31399721375525,4.35131118809823,0.000112032931518827,0.0246099006236358,0.0243720763304116,"TFF3/PGR/ESR1/FOXA1/TFF1/KDM4B/GATA3/FOSB/GREB1/CXXC5/MYB/TNRC6C/FOS/CDK9/ERBB4/NRIP1/KAT5/H4C14/POLR2A/GTF2F1/TLE3/CHD1/KCTD6",23
"R-HSA-181430","Norepinephrine Neurotransmitter Release Cycle","7/789","17/9605",0.411764705882353,5.0126742712294,4.95362517559664,0.000229533168277319,0.0399236451030618,0.0395378323838324,"CPLX1/SYT1/TSPOAP1/RAB3A/MAOA/VAMP2/PPFIA2",7
"R-HSA-211859","Biological oxidations","29/789","177/9605",0.163841807909605,1.99455077943188,3.99514544745211,0.000242328650094457,0.0399236451030618,0.0395378323838324,"NAT1/AKR7A3/CYP4B1/CYP4F8/CMBL/CYP21A2/ABHD14B/SULT1A1/SULT2B1/MAOA/CYP2B6/GSTM3/ADH1B/SULT1A2/GSTM2/GSTZ1/GSTM4/CYP4F22/ACSM5/GSTM5/CYP4F12/ACY1/FDXR/CYP4F11/CES1/CES3/ACSS2/RXRA/CYP2A7",29
