"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","18/1120","57/9605",0.315789473684211,2.70817669172932,4.69919187139083,4.99917583827649e-05,0.00306616118080958,0.00289425969584428,"ELF5/SBSN/DLX5/GJB3/FABP5/EGFR/TFAP2C/KLK7/SPINK5/ITGB1/ITGA6/MFGE8/SLPI/TFRC/KLK5/YAP1/VIM/TGFA",18
"R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","21/1120","74/9605",0.283783783783784,2.43369932432432,4.49794219012349,7.17776252055331e-05,0.00406371785779018,0.00383588928223901,"CDC20/CCNA1/PLK1/FBXO5/PTTG1/PSMD7/BUB1B/CCNA2/UBE2S/UBE2C/SKP2/NEK2/SEM1/MAD2L1/AURKA/AURKB/RPS27A/PSMB2/CUL1/CDK1/PSMD11",21
"R-HSA-453276","Regulation of mitotic cell cycle","21/1120","74/9605",0.283783783783784,2.43369932432432,4.49794219012349,7.17776252055331e-05,0.00406371785779018,0.00383588928223901,"CDC20/CCNA1/PLK1/FBXO5/PTTG1/PSMD7/BUB1B/CCNA2/UBE2S/UBE2C/SKP2/NEK2/SEM1/MAD2L1/AURKA/AURKB/RPS27A/PSMB2/CUL1/CDK1/PSMD11",21
"R-HSA-195258","RHO GTPase Effectors","55/1120","284/9605",0.193661971830986,1.66082432092555,4.10698482416471,8.95510042276189e-05,0.00488218808233537,0.00460847273218156,"FMNL2/ROPN1/CDCA8/CDC20/DIAPH2/CENPA/PLK1/KIF14/CENPF/KIF2C/DIAPH3/PRC1/S100A8/NCK1/ITGB1/BIRC5/PPP1CB/CENPO/S100A9/SPC24/BUB1B/DSN1/KIF18A/H2BC11/SEH1L/NDC80/BUB1/WIPF3/WASF1/TUBB6/NCF2/CENPM/MAD2L1/CIT/AURKB/NUF2/XPO1/KNL1/CENPU/ZW10/ARPC5/CENPH/TUBA4A/CENPL/H2AX/PFN2/ROCK2/ARPC2/FLNA/INCENP/H4C3/PAFAH1B1/CENPE/SKA1/ABI1",55
"R-HSA-9734767","Developmental Cell Lineages","28/1120","116/9605",0.241379310344828,2.07004310344828,4.21239615105584,0.000119372377130413,0.00627557639771317,0.005923742023013,"ELF5/SBSN/DLX5/PROM1/SPINK1/GJB3/FABP5/EGFR/TFAP2C/CXCR4/ERICH5/KLK7/SPINK5/ITGB1/COL27A1/ITGA6/MFGE8/SOX9/GATA6/LAMA1/SLPI/TFRC/KLK5/YAP1/VIM/COL24A1/TGFA/COL11A2",28
"R-HSA-69190","DNA strand elongation","12/1120","32/9605",0.375,3.21595982142857,4.56165047131677,0.000144262025953031,0.0073225414552711,0.00691200995491837,"RFC4/RFC2/PRIM2/GINS1/MCM7/MCM2/CDC45/MCM8/GINS4/MCM6/POLD1/MCM5",12
"R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","8/1120","16/9605",0.5,4.28794642857143,4.78197419895856,0.000181149360606419,0.00888839529375495,0.00839007564913939,"LIN9/RBL1/CCNA2/MYBL2/E2F5/CDK1/E2F1/TFDP2",8
"R-HSA-9675135","Diseases of DNA repair","15/1120","50/9605",0.3,2.57276785714286,4.05082465880975,0.000392318783689255,0.0179540822050874,0.016947503225626,"RAD51AP1/BLM/MSH6/RFC4/BARD1/EXO1/NEIL3/RFC2/MSH2/SEM1/RAD51/NBN/RHNO1/RMI2/XRCC2",15
"R-HSA-69231","Cyclin D associated events in G1","14/1120","45/9605",0.311111111111111,2.66805555555556,4.07471262980661,0.000402503201608617,0.0179540822050874,0.016947503225626,"CDKN2A/CDK6/E2F3/CCNE1/RBL1/LYN/SKP2/CKS1B/RPS27A/E2F5/CUL1/E2F1/TFDP2/CDKN2C",14
"R-HSA-69236","G1 Phase","14/1120","45/9605",0.311111111111111,2.66805555555556,4.07471262980661,0.000402503201608617,0.0179540822050874,0.016947503225626,"CDKN2A/CDK6/E2F3/CCNE1/RBL1/LYN/SKP2/CKS1B/RPS27A/E2F5/CUL1/E2F1/TFDP2/CDKN2C",14
"R-HSA-69052","Switching of origins to a post-replicative state","20/1120","78/9605",0.256410256410256,2.19894688644689,3.86258746383914,0.000469822698746038,0.0203405591927696,0.0192001845927173,"CCNA1/CCNE1/PSMD7/CDT1/CCNA2/ORC1/UBE2S/UBE2C/SKP2/SEM1/MCM7/MCM2/RPS27A/PSMB2/CUL1/PSMD11/GMNN/MCM8/MCM6/MCM5",20
"R-HSA-68949","Orc1 removal from chromatin","16/1120","57/9605",0.280701754385965,2.40726817042607,3.87139291816371,0.000580998044779728,0.0244351177690217,0.02306518553712,"CCNA1/PSMD7/CDT1/CCNA2/ORC1/SKP2/SEM1/MCM7/MCM2/RPS27A/PSMB2/CUL1/PSMD11/MCM8/MCM6/MCM5",16
"R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition","11/1120","32/9605",0.34375,2.94796316964286,4.00996761086604,0.000650253934565863,0.026394028059724,0.0249142713378402,"CCNA1/HJURP/TICRR/FOXM1/PLK1/CCNB2/CCNA2/CDC25A/XPO1/CDK1/BORA",11
"R-HSA-5693579","Homologous DNA Pairing and Strand Exchange","13/1120","42/9605",0.30952380952381,2.65444302721088,3.90380887707491,0.000680170943619629,0.026394028059724,0.0249142713378402,"RAD51AP1/BLM/RFC4/BARD1/EXO1/RFC2/CHEK1/SEM1/RAD51/NBN/RHNO1/RMI2/XRCC2",13
"R-HSA-2514853","Condensation of Prometaphase Chromosomes","6/1120","11/9605",0.545454545454545,4.67775974025974,4.43393174676043,0.000681367572193962,0.026394028059724,0.0249142713378402,"CCNB2/NCAPD2/NCAPH/NCAPG/CDK1/SMC2",6
"R-HSA-9725554","Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin","10/1120","28/9605",0.357142857142857,3.06281887755102,3.97131679809821,0.000810508019294401,0.0305914821641374,0.0288763990679787,"SBSN/GJB3/FABP5/KLK7/SPINK5/ITGB1/ITGA6/TFRC/KLK5/YAP1",10
"R-HSA-9701192","Defective homologous recombination repair (HRR) due to BRCA1 loss of function","9/1120","24/9605",0.375,3.21595982142857,3.9488555388292,0.000986197801154225,0.0337600735650935,0.0318673463286066,"RAD51AP1/BLM/BARD1/EXO1/SEM1/RAD51/NBN/RMI2/XRCC2",9
"R-HSA-9701193","Defective homologous recombination repair (HRR) due to PALB2 loss of function","9/1120","24/9605",0.375,3.21595982142857,3.9488555388292,0.000986197801154225,0.0337600735650935,0.0318673463286066,"RAD51AP1/BLM/BARD1/EXO1/SEM1/RAD51/NBN/RMI2/XRCC2",9
"R-HSA-9704331","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function","9/1120","24/9605",0.375,3.21595982142857,3.9488555388292,0.000986197801154225,0.0337600735650935,0.0318673463286066,"RAD51AP1/BLM/BARD1/EXO1/SEM1/RAD51/NBN/RMI2/XRCC2",9
"R-HSA-9704646","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function","9/1120","24/9605",0.375,3.21595982142857,3.9488555388292,0.000986197801154225,0.0337600735650935,0.0318673463286066,"RAD51AP1/BLM/BARD1/EXO1/SEM1/RAD51/NBN/RMI2/XRCC2",9
"R-HSA-73886","Chromosome Maintenance","26/1120","119/9605",0.218487394957983,1.87372448979592,3.48430041820204,0.00105640780168422,0.0353416428199812,0.0333602463689754,"POLR2F/CCNA1/HJURP/CENPA/DSCC1/BLM/CENPW/CENPO/RFC4/CCNA2/H2BC11/OIP5/RFC2/PRIM2/TERT/DKC1/CENPM/PIF1/KNL1/CENPU/CENPH/CENPL/H2AX/GAR1/H4C3/POLD1",26
"R-HSA-72312","rRNA processing","38/1120","197/9605",0.192893401015228,1.65423313995649,3.37074703985137,0.00113662862114967,0.0368441588830122,0.0347785252614245,"RIOK1/NOP58/UTP4/RPL22L1/UTP11/NIP7/RPP40/RBM28/DKC1/WDR43/MPHOSPH10/RPP38/LTV1/WDR75/UTP20/RPL39L/NCL/RPS20/TEX10/RPS27A/RPS26/EMG1/RPUSD3/RIOK3/RPS7/RPS19/NOP2/NOB1/DDX21/UTP25/RPL27A/RPL30/TSR1/GAR1/RPL35/MRM3/MTERF3/RPL36A",38
"R-HSA-5693616","Presynaptic phase of homologous DNA pairing and strand exchange","12/1120","39/9605",0.307692307692308,2.63873626373626,3.72550665306071,0.00115137996509413,0.0368441588830122,0.0347785252614245,"BLM/RFC4/BARD1/EXO1/RFC2/CHEK1/SEM1/RAD51/NBN/RHNO1/RMI2/XRCC2",12
"R-HSA-156711","Polo-like kinase mediated events","7/1120","16/9605",0.4375,3.751953125,4.00242799765176,0.00126829472856707,0.0397219114989516,0.0374949393439761,"FOXM1/PLK1/CENPF/LIN9/CCNB2/MYBL2/CDC25A",7
"R-HSA-9675136","Diseases of DNA Double-Strand Break Repair","12/1120","40/9605",0.3,2.57276785714286,3.62127325390075,0.00147313803126749,0.0442542690209336,0.0417731944419567,"RAD51AP1/BLM/RFC4/BARD1/EXO1/RFC2/SEM1/RAD51/NBN/RHNO1/RMI2/XRCC2",12
"R-HSA-9701190","Defective homologous recombination repair (HRR) due to BRCA2 loss of function","12/1120","40/9605",0.3,2.57276785714286,3.62127325390075,0.00147313803126749,0.0442542690209336,0.0417731944419567,"RAD51AP1/BLM/RFC4/BARD1/EXO1/RFC2/SEM1/RAD51/NBN/RHNO1/RMI2/XRCC2",12
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","35/1120","180/9605",0.194444444444444,1.66753472222222,3.28457057207497,0.00151469708288019,0.0445926821199927,0.0420926347242494,"RIOK1/NOP58/UTP4/RPL22L1/UTP11/NIP7/RPP40/RBM28/DKC1/WDR43/MPHOSPH10/RPP38/LTV1/WDR75/UTP20/RPL39L/NCL/RPS20/TEX10/RPS27A/RPS26/EMG1/RIOK3/RPS7/RPS19/NOP2/NOB1/DDX21/UTP25/RPL27A/RPL30/TSR1/GAR1/RPL35/RPL36A",35
"R-HSA-453274","Mitotic G2-G2/M phases","36/1120","187/9605",0.192513368983957,1.65097402597403,3.26598574143055,0.00157007561186797,0.0451193403490998,0.0425897663478345,"OPTN/E2F3/CCNA1/HJURP/TICRR/FOXM1/CEP78/HAUS6/PLK1/HAUS7/CENPF/LIN9/PHLDA1/CCNB2/PPP1CB/PSMD7/TPX2/CCNA2/NEK2/TUBB6/GTSE1/SEM1/MYBL2/AURKA/RPS27A/CDC25A/XPO1/PSMB2/CUL1/CDK1/TUBA4A/PSMD11/BORA/E2F1/CEP57/PAFAH1B1",36
"R-HSA-913531","Interferon Signaling","46/1120","255/9605",0.180392156862745,1.54702380952381,3.21647128163462,0.0015938897405932,0.0451193403490998,0.0425897663478345,"TRIM2/GBP1/SOCS1/NCAM1/RSAD2/FANCE/HERC5/YBX1/NCK1/IFI44/FANCA/IFIH1/OASL/IFI44L/SEH1L/IFNAR2/STAT1/VCAM1/PRKRA/GBP4/MX2/TUBB6/GBP5/IFNGR1/FANCC/NUP93/EIF2AK2/NDC1/RPS27A/IRF4/KPNA4/CDK1/TUBA4A/NUP205/PPM1B/PIM1/ABCE1/EIF2S2/NUP88/FLNA/NUP153/PML/FCGR1A/NUP35/IFIT3/IFIT2",46
