"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071174","mitotic spindle checkpoint signaling","21/1618","47/14562",0.446808510638298,4.02127659574468,7.33468560250688,5.78105447309371e-09,1.36156400351081e-06,1.27976935864322e-06,"CDCA8/CDC20/TTK/PLK1/CENPF/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3",21
"GO:0044772","mitotic cell cycle phase transition","85/1618","411/14562",0.206812652068127,1.86131386861314,6.26237965478166,8.15762491949162e-09,1.76759416755545e-06,1.66140765202446e-06,"EZH2/CDKN2A/ID4/CDK6/MASTL/CDCA8/CDC20/NFIB/E2F3/CCNA1/TICRR/EGFR/FOXM1/CCNE1/TTK/PLK1/MELK/RRM2/KIF14/CENPF/FBXO5/CDC7/CKS2/MTBP/CLSPN/CCNB2/ITGB1/RBL1/BLM/BIRC5/SPC24/BARD1/BUB1B/CCNA2/ORC1/GTPBP4/PINX1/UBE2S/AVEN/DLGAP5/UBE2C/HASPIN/SKP2/TERT/NDC80/ANLN/BUB1/DPF3/CHEK1/CPSF3/MAD2L1/TRIP13/PRKDC/AURKA/AURKB/E2F7/CDC25A/NUF2/SMC5/KNL1/NBN/ZW10/CUL1/MYC/CDK1/RFWD3/TPD52L1/E2F1/CHMP4C/HUS1B/ATAD5/DBF4/GPNMB/MAD2L2/INCENP/SASS6/ADAM17/BCAT1/CENPE/CDKN2C/NES/SKA1/CCNY/SKA3/SMARCC1",85
"GO:1901987","regulation of cell cycle phase transition","80/1618","416/14562",0.192307692307692,1.73076923076923,5.34639077628337,5.57010632178149e-07,7.73673485771547e-05,7.27195796989395e-05,"SIX3/EZH2/CDKN2A/CDK6/CDCA8/CDC20/TICRR/EGFR/STK38/CCNE1/TTK/PLK1/RRM2/KIF14/CENPF/FBXO5/CDC7/MTBP/CLSPN/RBL1/BLM/BIRC5/FAM83D/SPC24/BARD1/BUB1B/CDT1/ORC1/GTPBP4/LYN/PINX1/AVEN/DLGAP5/UBE2C/HASPIN/TERT/NDC80/ANLN/BUB1/RNF168/DPF3/CHEK1/MSH2/CPSF3/MAD2L1/TRIP13/PRKDC/CDC45/RAD51/AURKA/AURKB/E2F7/CDC25A/NUF2/KNL1/NBN/ZW10/CDK1/RFWD3/H2AX/RHNO1/E2F1/CHMP4C/CCNQ/HUS1B/ATAD5/DBF4/GPNMB/MAD2L2/USP28/INCENP/SASS6/ADAM17/CENPE/CDK18/CDKN2C/SKA1/SKA3/SMARCC1/FANCD2",80
"GO:0006261","DNA-templated DNA replication","40/1618","162/14562",0.246913580246914,2.22222222222222,5.53066106406418,7.90429426410023e-07,9.9575725647979e-05,9.35938099276691e-05,"MCM10/TICRR/CCNE1/CDK2AP1/FBXO5/CDC7/BLM/MMS22L/RECQL/RFC4/BARD1/CDT1/EXO1/ORC1/RFC2/FBH1/PRIM2/GINS1/MCM7/MCM2/PRKDC/CDC45/RAD51/SSBP1/CHRAC1/E2F7/NBN/CDK1/RFWD3/POLE3/GMNN/MCM8/ATAD5/GINS4/DBF4/DDX11/MCM6/POLD1/E2F8/MCM5",40
"GO:2001251","negative regulation of chromosome organization","28/1618","95/14562",0.294736842105263,2.65263157894737,5.71346033213078,8.3529467722014e-07,0.000102836165147761,9.66583816677947e-05,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/BIRC5/SPC24/BUB1B/PINX1/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/PIF1/AURKB/NUF2/KNL1/NBN/ZW10/MAD2L2/INCENP/BAZ1B/PML/SKA1/SKA3/HNRNPU",28
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","39/1618","164/14562",0.23780487804878,2.14024390243902,5.19181495803754,2.93535851734417e-06,0.00029445994608247,0.000276770548701633,"CDCA8/CDC20/STMN1/CENPA/TTK/PLK1/PRC1/ITGB1/BIRC5/TPX2/DLGAP5/NEK2/NDC80/KIF23/FSD1/PRICKLE1/MAD2L1/MYBL2/AURKA/KIFC1/AURKB/NUF2/CCSAP/ZW10/CDK1/CENPH/BORA/CHMP4C/PSRC1/KIF11/FLNA/INCENP/SASS6/WDR62/STAG1/PAFAH1B1/CENPE/INTS13/HNRNPU",39
"GO:0050000","chromosome localization","31/1618","118/14562",0.26271186440678,2.36440677966102,5.26128393499225,3.37547135567595e-06,0.00032651657738744,0.000306901408785801,"CDCA8/TTK/EML4/KIF14/CENPF/KIF2C/BIRC5/FAM83D/SPC24/CDT1/PINX1/DSN1/KIF18A/DLGAP5/SEH1L/NEK2/NDC80/KIFC1/AURKB/NUF2/KNL1/ZW10/CDK1/KNSTRN/CHMP4C/PSRC1/INCENP/CENPE/SKA1/SKA3/HNRNPU",31
"GO:1903046","meiotic cell cycle process","43/1618","192/14562",0.223958333333333,2.015625,5.00848318879348,4.96305091039796e-06,0.000455675369180098,0.00042830111067966,"RAD51AP1/MASTL/CDC20/CCNA1/RAD54L/CCNE1/TTK/PLK1/STRA8/FBXO5/PTTG1/CKS2/CCNB2/NCAPD2/FANCA/STAG3/MSH6/CYP26B1/KIF18A/NCAPH/NDC80/MND1/TRIP13/RAD51/AURKA/NDC1/ASPM/MCMDC2/CDC25A/NUF2/KNL1/SMC2/CALR/HUS1B/MYBL1/INCENP/BAG6/NPPC/BRME1/GPR3/SKA1/SKA3/FANCD2",43
"GO:1904666","regulation of ubiquitin protein ligase activity","9/1618","15/14562",0.6,5.4,6.0278466335958,6.76518002684695e-06,0.000610783003423832,0.000574090803330855,"CDKN2A/CDC20/PLK1/FBXO5/UBE2S/UBE2C/MAD2L1/RPS7/MAD2L2",9
"GO:0000727","double-strand break repair via break-induced replication","8/1618","12/14562",0.666666666666667,6,6.12603872951061,7.49093296656806e-06,0.0006652194078672,0.000625256993257803,"CDC7/MCM7/MCM2/CDC45/MCMDC2/GINS4/MCM6/MCM5",8
"GO:0044839","cell cycle G2/M phase transition","36/1618","152/14562",0.236842105263158,2.13157894736842,4.95821403055248,7.68288059345672e-06,0.000671260712496049,0.000630935372335316,"CDK6/MASTL/CDC20/TICRR/FOXM1/PLK1/MELK/KIF14/CENPF/FBXO5/CDC7/CLSPN/CCNB2/BLM/BIRC5/BARD1/CCNA2/ORC1/GTPBP4/PINX1/AVEN/SKP2/NDC80/CHEK1/AURKA/AURKB/CDC25A/NBN/CDK1/TPD52L1/CHMP4C/CCNQ/HUS1B/ATAD5/NES/CCNY",36
"GO:0030111","regulation of Wnt signaling pathway","60/1618","314/14562",0.191082802547771,1.71974522292994,4.55845077441975,1.74233089364581e-05,0.00143003128043627,0.00134412352991464,"FZD9/SIX3/DLX5/TCF7L1/WNK2/BARX1/FOXL1/SOX10/EGFR/SFRP1/SOSTDC1/NOTCH1/LGR6/WWTR1/AMER1/TMEM131L/GPRC5B/LGR4/SOX4/APCDD1L/FZD7/TLE4/TMEM237/CDH3/NRARP/MACF1/FRZB/MLLT3/TERT/SNAI2/GRB10/DKK1/MDFIC/NXN/PRICKLE1/PTK7/FERMT1/ATP6V1C2/KANK1/SOX9/NFATC1/DEPDC1B/CDH2/LGR5/ASPM/HSP90B1/PPM1B/PPP2R3A/DISC1/YAP1/MDK/TBL1XR1/MAD2L2/TNFAIP3/CTHRC1/APP/NOTUM/OTULIN/CCNY/TLE1",60
"GO:2000179","positive regulation of neural precursor cell proliferation","16/1618","47/14562",0.340425531914894,3.06382978723404,5.01031340452935,2.60732377575049e-05,0.00207704013135888,0.00195226394788005,"FZD9/ID4/SMO/SOX10/NOTCH1/ITGB1/LYN/ASPM/TOX/DISC1/MDK/FLNA/WDR62/LHX2/NR2E1/NES",16
"GO:0051782","negative regulation of cell division","8/1618","14/14562",0.571428571428571,5.14285714285714,5.48293297500577,3.69958792729082e-05,0.00286295254316206,0.0026909634292189,"PTCH1/BLM/AURKB/E2F7/ASPM/MYC/CHMP4C/E2F8",8
"GO:0010001","glial cell differentiation","46/1618","230/14562",0.2,1.8,4.32365579594497,5.15838368499195e-05,0.00382780334542484,0.00359785174971969,"SOX8/ID4/PHGDH/CDK6/SERPINE2/NFIB/SMO/SOX10/ADGRG6/GSTP1/ROR1/DNER/EED/NOTCH1/TNFRSF21/CXCR4/QKI/S100A8/PARD3/NDRG1/SOX4/MYCN/ZNF488/S100A9/NAB1/GPM6B/IL34/LYN/RHEB/VPS54/B4GALT5/IFNGR1/SOX9/CDH2/RNF112/S100B/PTPRZ1/CDK1/SUZ12/SOX6/MDK/VIM/NR2E1/CDKN2C/APP/EIF2B3",46
"GO:0014015","positive regulation of gliogenesis","18/1618","60/14562",0.3,2.7,4.66510264243565,5.74299004247457e-05,0.00420402392703848,0.00395147124259594,"SOX8/SERPINE2/SOX10/NOTCH1/ETV5/CXCR4/QKI/SLC7A5/ZNF488/IL34/LYN/PLAG1/RHEB/RNF112/PTPRZ1/E2F1/MDK/PRKCI",18
"GO:0030174","regulation of DNA-templated DNA replication initiation","8/1618","15/14562",0.533333333333333,4.8,5.20586754719637,7.15452498398356e-05,0.00516747491176519,0.00485704383824961,"TICRR/CDT1/MCM7/MCM2/NBN/GMNN/MCM6/MCM5",8
"GO:0010212","response to ionizing radiation","31/1618","138/14562",0.22463768115942,2.02173913043478,4.26370668104367,9.37228096903952e-05,0.00626785753201075,0.00589132203343004,"RAD51AP1/TANK/CXCL10/RAD54L/IKBIP/TICRR/SFRP1/RNF8/BLM/TSPYL5/BARD1/SNAI2/CRYAB/RNF168/VCAM1/MSH2/IFI16/CBL/PRKDC/RAD51/RFWD3/H2AX/RHNO1/KDM4D/YAP1/KARS1/LCN2/USP28/PML/XRCC2/FANCD2",31
"GO:0019730","antimicrobial humoral response","23/1618","90/14562",0.255555555555556,2.3,4.37371960652685,9.50991443286764e-05,0.00628234225400536,0.00590493659971512,"BPI/PI3/CXCL10/CXCL11/KLK7/SPINK5/LYZ/S100A9/POMC/CXCL9/H2BC11/KRT6A/GATA6/SPON2/CXCL3/RPS19/SLPI/CCL8/MMP7/KLK5/CCL20/RPL30/APP",23
"GO:0065004","protein-DNA complex assembly","38/1618","184/14562",0.206521739130435,1.85869565217391,4.14428432548649,0.000111625999217364,0.00711385926777013,0.00668650103051876,"NASP/HJURP/CENPA/TAF4B/HEY2/ANP32B/CENPF/POLR1E/H1-3/TSPYL5/CENPW/CENPO/TAF11/HMGB2/CDT1/H2BC11/DLGAP5/OIP5/MED8/MED30/ATAD2/MCM2/SOX9/CDC45/RAD51/CHRAC1/H1-4/HP1BP3/MCMDC2/SSRP1/CENPH/H2AX/POLE3/MACROH2A2/GMNN/MED17/H4C3/CENPE",38
"GO:0098773","skin epidermis development","28/1618","121/14562",0.231404958677686,2.08264462809917,4.22795721643776,0.000116993207393056,0.00736921167963003,0.00692651339241383,"GAL/STMN1/SMO/EGFR/TFAP2C/SOSTDC1/NOTCH1/KRT16/LGR4/SPINK5/FOXQ1/SNAI1/CDH3/CYP26B1/GRHL1/DKK1/FERMT1/SOX9/GATA6/LGR5/CD109/GORAB/GNAS/WNT10A/IL18/ZNF750/LHX2/EXT1",28
"GO:0071459","protein localization to chromosome, centromeric region","12/1618","33/14562",0.363636363636364,3.27272727272727,4.62101139029294,0.000128900873163393,0.0080259313784609,0.00754378128846135,"CENPA/TTK/MTBP/BUB1B/H2BC11/HASPIN/AURKB/SMC5/KNL1/ZW10/CDK1/H4C3",12
"GO:0008544","epidermis development","56/1618","310/14562",0.180645161290323,1.6258064516129,3.93761801779694,0.000159749771674289,0.00961516125732914,0.00903753971448579,"FOXC1/EZH2/CDKN2A/PKP1/GAL/BCL11B/STMN1/FABP5/SMO/PLOD1/EGFR/HEY2/TFAP2C/SOSTDC1/NOTCH1/PTCH1/YBX1/KLK7/KRT16/LGR4/SPINK5/MYCN/FOXQ1/CLIC4/SNAI1/NAB1/CDH3/CYP26B1/CSTA/GRHL1/MYCL/TMEM132E/DKK1/KRT6A/FERMT1/SOX9/GATA6/LGR5/CD109/KRT81/GSDME/GORAB/GNAS/WNT10A/IL18/MACROH2A2/KLK5/PLOD3/ROCK2/YAP1/ZNF750/DSP/PAFAH1B1/LHX2/ZBED2/EXT1",56
"GO:0042770","signal transduction in response to DNA damage","39/1618","195/14562",0.2,1.8,3.97626073150217,0.000185930727727224,0.0110679862867953,0.0104030876809321,"CDKN2A/TICRR/FOXM1/STK38/PLK1/RBM38/CLSPN/RNF8/NDRG1/BLM/SOX4/MAP3K7/SNAI1/BARD1/LYN/SNAI2/RNF168/CHEK1/MSH2/SPRED1/GTSE1/CASP2/PRKDC/RAD51/E2F7/NBN/CDK1/RFWD3/H2AX/AARS1/RHNO1/E2F1/HUS1B/ATAD5/MAD2L2/USP28/PML/FANCD2/USP10",39
"GO:0051383","kinetochore organization","9/1618","21/14562",0.428571428571429,3.85714285714286,4.63228288649209,0.000213191643228224,0.0117687035658906,0.0110617100450264,"CENPA/CENPF/CENPW/DLGAP5/NDC80/NUF2/CENPH/SMC2/CENPE",9
"GO:0071824","protein-DNA complex organization","40/1618","203/14562",0.197044334975369,1.77339901477833,3.92319724150513,0.000215082453945573,0.0117687035658906,0.0110617100450264,"NASP/HJURP/CENPA/TAF4B/HEY2/ANP32B/CENPF/POLR1E/H1-3/TSPYL5/CENPW/CENPO/TAF11/HMGB2/CDT1/H2BC11/DLGAP5/OIP5/MED8/MED30/ATAD2/MCM2/SOX9/CDC45/RAD51/CHRAC1/H1-4/HP1BP3/MCMDC2/SSRP1/MYC/CENPH/H2AX/POLE3/MACROH2A2/GMNN/MED17/H4C3/CENPE/SMARCC1",40
