"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","pvalue","padj","direction"
"ENSG00000125144","MT1G","protein_coding",251.036888098258,-2.24985323568758,0.00408590568785347,0.0264365754726873,"Higher_in_TNBC"
"ENSG00000137273","FOXF2","protein_coding",86.6596754486573,-1.840994627659,0.00409743942065318,0.0264931476330282,"Higher_in_TNBC"
"ENSG00000118655","DCLRE1B","protein_coding",313.338702080105,-0.730839291088783,0.00410536109116976,0.0265264159871037,"Higher_in_TNBC"
"ENSG00000176890","TYMS","protein_coding",894.878175331049,-0.932256431482526,0.00414083143392507,0.0267100505877164,"Higher_in_TNBC"
"ENSG00000134318","ROCK2","protein_coding",5821.06024456566,-0.741258891700901,0.00416080057178566,0.0268115381263012,"Higher_in_TNBC"
"ENSG00000162458","FBLIM1","protein_coding",7165.55429474265,-0.980653955105059,0.00416663660519541,0.0268400370192201,"Higher_in_TNBC"
"ENSG00000083857","FAT1","protein_coding",3715.98955455795,-1.22969272185339,0.00417126245944887,0.0268516183406556,"Higher_in_TNBC"
"ENSG00000127993","RBM48","protein_coding",690.92996372713,-0.681535672403957,0.00417296968599183,0.0268535053666503,"Higher_in_TNBC"
"ENSG00000188996","HUS1B","protein_coding",14.532580876146,-1.51583198001437,0.00417838114188055,0.0268792201505121,"Higher_in_TNBC"
"ENSG00000178234","GALNT11","protein_coding",1520.50546265576,-0.751303286923155,0.00418885182428629,0.0269374521311198,"Higher_in_TNBC"
"ENSG00000173905","GOLIM4","protein_coding",1925.84773415403,-1.19812657322084,0.00420167412731854,0.0269833587006355,"Higher_in_TNBC"
"ENSG00000134748","PRPF38A","protein_coding",2322.14191708756,-0.933584816564598,0.00420775018283186,0.027009077783199,"Higher_in_TNBC"
"ENSG00000243244","STON1","protein_coding",438.365444260051,-1.03569864506574,0.00420852349449636,0.027009077783199,"Higher_in_TNBC"
"ENSG00000079739","PGM1","protein_coding",953.164857979458,-1.19248180929627,0.00421064649938819,0.02701357331871,"Higher_in_TNBC"
"ENSG00000188176","SMTNL2","protein_coding",37.3415604447923,-2.19014920980038,0.00421889210940835,0.0270573323734092,"Higher_in_TNBC"
"ENSG00000137693","YAP1","protein_coding",2217.12916210037,-0.726797432338216,0.0042385139334894,0.0271556611325788,"Higher_in_TNBC"
"ENSG00000146858","ZC3HAV1L","protein_coding",274.598591371401,-0.795683553786258,0.00424227802823568,0.0271621066665872,"Higher_in_TNBC"
"ENSG00000188647","PTAR1","protein_coding",935.566532308904,-0.888462231992606,0.00424671796570444,0.0271715546390591,"Higher_in_TNBC"
"ENSG00000163131","CTSS","protein_coding",2420.78145095863,-0.654478509520285,0.00426107407283714,0.0272542258818381,"Higher_in_TNBC"
"ENSG00000005801","ZNF195","protein_coding",1763.84345661844,-0.747648522906322,0.00426954479601301,0.0272773568986166,"Higher_in_TNBC"
"ENSG00000064218","DMRT3","protein_coding",42.6894338003982,-1.50640938831219,0.00426943129877614,0.0272773568986166,"Higher_in_TNBC"
"ENSG00000144130","NT5DC4","protein_coding",32.012294148684,-1.3460618969473,0.00427043612741375,0.0272773568986166,"Higher_in_TNBC"
"ENSG00000119547","ONECUT2","protein_coding",162.770427872338,-1.96935841354096,0.00427969347690932,0.0272909573970666,"Higher_in_TNBC"
"ENSG00000141101","NOB1","protein_coding",1094.66909795864,-1.35083934927097,0.00427769802102587,0.0272909573970666,"Higher_in_TNBC"
"ENSG00000167723","TRPV3","protein_coding",452.985811665448,-1.19372186853658,0.00427975098096179,0.0272909573970666,"Higher_in_TNBC"
"ENSG00000112210","RAB23","protein_coding",253.15301241885,-1.32866783002862,0.00428666534893054,0.0273167030121446,"Higher_in_TNBC"
"ENSG00000110693","SOX6","protein_coding",581.340250357258,-0.982778816920609,0.00429321463315468,0.0273492606117435,"Higher_in_TNBC"
"ENSG00000112394","SLC16A10","protein_coding",648.516802709903,-0.797154066372123,0.00429535242671743,0.0273537030795989,"Higher_in_TNBC"
"ENSG00000176208","ATAD5","protein_coding",1809.76778870014,-0.731415377362141,0.00433067816474948,0.0275325002840953,"Higher_in_TNBC"
"ENSG00000155330","C16orf87","protein_coding",524.573892781713,-0.804107527808543,0.00433983178574521,0.027581461047959,"Higher_in_TNBC"
"ENSG00000023909","GCLM","protein_coding",1069.33185010329,-0.60089886286561,0.00436000235972616,0.0276818605186225,"Higher_in_TNBC"
"ENSG00000196235","SUPT5H","protein_coding",16027.9113383217,-0.818258492867561,0.00437886305030965,0.0277830301788775,"Higher_in_TNBC"
"ENSG00000182492","BGN","protein_coding",40524.0977842582,-1.3300128893539,0.00439036239221909,0.027837389592067,"Higher_in_TNBC"
"ENSG00000173369","C1QB","protein_coding",990.435518276502,-1.45298218504532,0.00441898522437858,0.0279628555184769,"Higher_in_TNBC"
"ENSG00000161243","FBXO27","protein_coding",1968.63672091464,-0.894020694575256,0.00442557806354477,0.0279952456451416,"Higher_in_TNBC"
"ENSG00000074695","LMAN1","protein_coding",3061.87531964917,-0.917337033119188,0.00444867008883213,0.0281038739144784,"Higher_in_TNBC"
"ENSG00000110492","MDK","protein_coding",4234.57894458538,-1.49292180013045,0.00445203382483686,0.0281157706463758,"Higher_in_TNBC"
"ENSG00000090924","PLEKHG2","protein_coding",4833.80039634384,-0.95815499893308,0.00446067073931195,0.0281422383187821,"Higher_in_TNBC"
"ENSG00000042429","MED17","protein_coding",1912.45374822654,-0.53513589778154,0.00447382093977793,0.0281787766031613,"Higher_in_TNBC"
"ENSG00000165732","DDX21","protein_coding",5945.26915567005,-0.889075125734493,0.00447388159339291,0.0281787766031613,"Higher_in_TNBC"
"ENSG00000139737","SLAIN1","protein_coding",74.2204329967469,-1.71872473345689,0.00448350608957356,0.0282300333690324,"Higher_in_TNBC"
"ENSG00000186187","ZNRF1","protein_coding",1610.51069827414,-1.06542316211717,0.00449199632948544,0.0282647482759869,"Higher_in_TNBC"
"ENSG00000154359","LONRF1","protein_coding",133.450514226833,-1.78485008870462,0.00449465866935274,0.0282721325375981,"Higher_in_TNBC"
"ENSG00000147536","GINS4","protein_coding",1124.47464188429,-0.771619536945928,0.0044980993305319,0.028284406055232,"Higher_in_TNBC"
"ENSG00000122591","HYCC1","protein_coding",1358.64510502625,-0.616014192110853,0.00450420087698127,0.0283085833508193,"Higher_in_TNBC"
"ENSG00000177565","TBL1XR1","protein_coding",2467.55704188299,-0.648668272979589,0.00450492569174175,0.0283085833508193,"Higher_in_TNBC"
"ENSG00000121281","ADCY7","protein_coding",1301.54800419795,-0.739786716689953,0.00452481654078246,0.0283866092201714,"Higher_in_TNBC"
"ENSG00000130559","CAMSAP1","protein_coding",1224.19759053602,-0.810047767635802,0.00452347435680958,0.0283866092201714,"Higher_in_TNBC"
"ENSG00000164163","ABCE1","protein_coding",1597.49596201591,-0.975264542097197,0.00452879737251476,0.0284022001664647,"Higher_in_TNBC"
"ENSG00000065427","KARS1","protein_coding",3344.44135151061,-1.14200149430819,0.00453317026372711,0.0284108591776164,"Higher_in_TNBC"
"ENSG00000185697","MYBL1","protein_coding",747.658006390419,-1.79368867131042,0.00455135171035879,0.0285153972219444,"Higher_in_TNBC"
"ENSG00000106772","PRUNE2","protein_coding",289.966807119094,-1.74185205800581,0.00456976012672081,0.0286212878649169,"Higher_in_TNBC"
"ENSG00000125977","EIF2S2","protein_coding",3622.01972256148,-0.922080742380377,0.00457382371922269,0.0286372939096732,"Higher_in_TNBC"
"ENSG00000124207","CSE1L","protein_coding",2438.86889278667,-1.08651930889554,0.0046262548824824,0.0289179000060371,"Higher_in_TNBC"
"ENSG00000115009","CCL20","protein_coding",28.3897274035746,-1.32087124455627,0.00465373870078521,0.029051445735671,"Higher_in_TNBC"
"ENSG00000101911","PRPS2","protein_coding",1030.66283589542,-1.20710409959412,0.00466039530985745,0.0290834396760411,"Higher_in_TNBC"
"ENSG00000117597","UTP25","protein_coding",1066.09706758253,-0.599932759823499,0.00466365647354297,0.0290926805712513,"Higher_in_TNBC"
"ENSG00000164008","C1orf50","protein_coding",560.566516649629,-0.663989730296992,0.00466647209162884,0.0290926805712513,"Higher_in_TNBC"
"ENSG00000166441","RPL27A","protein_coding",7421.49279602247,-1.18633908292003,0.00466635861582432,0.0290926805712513,"Higher_in_TNBC"
"ENSG00000138399","FASTKD1","protein_coding",660.445259557266,-0.603481211982695,0.00467036742412324,0.0291074097092551,"Higher_in_TNBC"
