"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","pvalue","padj","direction"
"ENSG00000175662","TOM1L2","protein_coding",6027.85900753772,0.899360618822514,0.000596034292724421,0.00606575092113438,"Higher_in_ER_pos"
"ENSG00000106605","BLVRA","protein_coding",827.5839164635,1.53195948978171,0.000598354511866646,0.0060795891815664,"Higher_in_ER_pos"
"ENSG00000165879","FRAT1","protein_coding",174.0130425738,1.04081663968547,0.000599373119398827,0.00608017924005541,"Higher_in_ER_pos"
"ENSG00000171489","SPACA5","protein_coding",29.0651774964199,1.48641464604051,0.000599104687020319,0.00608017924005541,"Higher_in_ER_pos"
"ENSG00000112851","ERBIN","protein_coding",2120.80056151864,0.54239032595316,0.000604715393411823,0.00612296304050545,"Higher_in_ER_pos"
"ENSG00000203780","FANK1","protein_coding",268.842518359072,1.37782076968817,0.000604880393048353,0.00612296304050545,"Higher_in_ER_pos"
"ENSG00000100888","CHD8","protein_coding",4173.53228199573,0.455448781335036,0.000608529713100574,0.00615354857585905,"Higher_in_ER_pos"
"ENSG00000135722","FBXL8","protein_coding",1317.37715831344,0.829730218728708,0.000608549985543091,0.00615354857585905,"Higher_in_ER_pos"
"ENSG00000138834","MAPK8IP3","protein_coding",23439.9735351228,0.916495042362514,0.000613364234068461,0.00619563127923408,"Higher_in_ER_pos"
"ENSG00000175591","P2RY2","protein_coding",1069.77318442561,1.60696554098558,0.000615839927636572,0.00621733132685726,"Higher_in_ER_pos"
"ENSG00000174292","TNK1","protein_coding",1051.75009392242,0.892970477312947,0.000620170008662933,0.00625439642300006,"Higher_in_ER_pos"
"ENSG00000104983","CCDC61","protein_coding",715.173043775685,0.786608937511359,0.000627589709910684,0.00630912048237368,"Higher_in_ER_pos"
"ENSG00000183773","AIFM3","protein_coding",277.662741200773,1.54288549999534,0.000635964555393828,0.00636970828424514,"Higher_in_ER_pos"
"ENSG00000165861","ZFYVE1","protein_coding",793.190679763675,0.954251217166578,0.000637394549243335,0.00637394549243335,"Higher_in_ER_pos"
"ENSG00000274529","SEBOX","protein_coding",15.1408004584754,1.68431792789285,0.000642841859232872,0.00641827913082662,"Higher_in_ER_pos"
"ENSG00000070193","FGF10","protein_coding",227.235649512576,2.27896353138029,0.000648815874627337,0.00646433025140248,"Higher_in_ER_pos"
"ENSG00000078053","AMPH","protein_coding",208.717030504235,1.68031115705637,0.000653000471005727,0.00648566933074448,"Higher_in_ER_pos"
"ENSG00000125611","CHCHD5","protein_coding",837.159273923953,1.093169932935,0.000659098939920397,0.00653250984816719,"Higher_in_ER_pos"
"ENSG00000008838","MED24","protein_coding",7958.88489465999,1.24765415291688,0.000664713141813856,0.00657442841825267,"Higher_in_ER_pos"
"ENSG00000113716","HMGXB3","protein_coding",5477.64762155095,0.820157911690514,0.000668865675486889,0.00660517897945711,"Higher_in_ER_pos"
"ENSG00000178965","ERICH3","protein_coding",44.9409355840362,2.28588634128318,0.000670107675043778,0.00661400454733957,"Higher_in_ER_pos"
"ENSG00000141349","G6PC3","protein_coding",2921.72425306556,0.909020162978803,0.000681442994793311,0.00670845125511922,"Higher_in_ER_pos"
"ENSG00000213171","LINGO4","protein_coding",48.5617483715356,2.30222263680293,0.000686475604748164,0.00674750089760229,"Higher_in_ER_pos"
"ENSG00000138613","APH1B","protein_coding",226.723623912401,1.10528792601617,0.000691636868944301,0.00679471502392772,"Higher_in_ER_pos"
"ENSG00000166260","COX11","protein_coding",1158.31068635214,0.977868147304516,0.000692848584583556,0.00679953591250108,"Higher_in_ER_pos"
"ENSG00000184731","FAM110C","protein_coding",356.203637079966,1.2695766692443,0.000693201765487209,0.00679953591250108,"Higher_in_ER_pos"
"ENSG00000180530","NRIP1","protein_coding",1537.68498522617,1.28709140636633,0.000697283465275315,0.00683516226216277,"Higher_in_ER_pos"
"ENSG00000197168","NEK5","protein_coding",1022.94793960444,1.01701941925586,0.000697553684258633,0.00683516226216277,"Higher_in_ER_pos"
"ENSG00000167371","PRRT2","protein_coding",2559.87139390908,1.5657684714482,0.00070116524016836,0.00685993194786046,"Higher_in_ER_pos"
"ENSG00000198246","SLC29A3","protein_coding",784.581588283255,1.27539716299506,0.000700949084195034,0.00685993194786046,"Higher_in_ER_pos"
"ENSG00000185630","PBX1","protein_coding",7435.20056294179,0.823091158911927,0.000702398970507281,0.00686846367143835,"Higher_in_ER_pos"
"ENSG00000137225","CAPN11","protein_coding",150.615835174308,1.6534195313474,0.000703428146189192,0.00687498738864269,"Higher_in_ER_pos"
"ENSG00000232859","LYRM9","protein_coding",535.959591029369,1.12905439105824,0.000713252332868428,0.00694954427971854,"Higher_in_ER_pos"
"ENSG00000229809","ZNF688","protein_coding",898.886616895954,0.734474182077322,0.000720980570191656,0.0070176427616297,"Higher_in_ER_pos"
"ENSG00000176563","CNTD1","protein_coding",167.487143470348,1.37200317932395,0.000730062666895378,0.00708787834577875,"Higher_in_ER_pos"
"ENSG00000244219","TMEM225B","protein_coding",37.8290858050072,1.62889051672478,0.000729814758815074,0.00708787834577875,"Higher_in_ER_pos"
"ENSG00000168056","LTBP3","protein_coding",18607.2368816604,1.06460764653608,0.000732294727180462,0.0071022864500291,"Higher_in_ER_pos"
"ENSG00000105248","YJU2","protein_coding",767.545858152847,0.76510134816078,0.000738418704713304,0.0071447313249697,"Higher_in_ER_pos"
"ENSG00000137802","MAPKBP1","protein_coding",3167.50668464897,0.8409841926886,0.000738247116731488,0.0071447313249697,"Higher_in_ER_pos"
"ENSG00000111725","PRKAB1","protein_coding",1451.34710946177,0.807291600489996,0.000750797829250642,0.00724106184736906,"Higher_in_ER_pos"
"ENSG00000043143","JADE2","protein_coding",1990.36094663817,0.96190200998186,0.000751714061778905,0.00724383129554432,"Higher_in_ER_pos"
"ENSG00000123191","ATP7B","protein_coding",1542.01452174724,1.17393980326011,0.000752347732527821,0.00724420089298499,"Higher_in_ER_pos"
"ENSG00000172009","THOP1","protein_coding",4495.52260584315,0.879977301113185,0.000771925133230093,0.00738109681774394,"Higher_in_ER_pos"
"ENSG00000172977","KAT5","protein_coding",1829.5551771252,0.597237513108769,0.000776008274829001,0.00741153263481301,"Higher_in_ER_pos"
"ENSG00000145022","TCTA","protein_coding",1411.1437988595,0.659584903845157,0.000778498735207375,0.00742899044300907,"Higher_in_ER_pos"
"ENSG00000126218","F10","protein_coding",100.670899495323,1.36477924150399,0.000780583599511657,0.00744514442728597,"Higher_in_ER_pos"
"ENSG00000121716","PILRB","protein_coding",24582.2770106868,0.964203386524159,0.000784437391698488,0.00747439341111605,"Higher_in_ER_pos"
"ENSG00000131437","KIF3A","protein_coding",1757.88693934605,0.826347398026369,0.000785039959006371,0.00747638356144984,"Higher_in_ER_pos"
"ENSG00000092850","TEKT2","protein_coding",72.7565783559927,1.44726081198469,0.000786168687159564,0.00748338013491735,"Higher_in_ER_pos"
